1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,,,,,,
,,,,,,,,,18.9,,,21.7,51.1,23.8,19.1,,33.8,39.0,11.5,15.7,30.1,13.2,,31.2,33.3,15.5,53.6,,23.9,38.0,33.4,45.9,45.4,,,17.6,51.5,13.8,,,,34.8,,27.1,50.9,15.3,20.2,22.1,9.9,,,,,,,,27.6,,,22.5,,53.3,15.6,,15.7,,35.2,29.3,8.7,,,23.2,0.8,4.4,15.7,18.6,19.7,21.4
,,,,,,31.7,,,26.0,,,27.0,90.7,14.2,28.2,,60.3,33.6,33.1,39.9,18.2,25.5,,25.8,42.3,34.4,93.2,,28.0,49.5,35.9,57.2,24.6,,,26.5,59.1,20.9,,,,17.1,,24.9,22.5,40.5,17.6,25.1,34.2,,,,,,,,23.0,,,14.0,,15.8,42.9,,46.7,,32.0,19.3,28.6,,,62.5,14.7,22,43.2,48.7,49,52.3
,,,,,46.4,39,,,9.0,,,17.2,76.2,24.4,19.0,,33.0,34.3,21.4,25.6,24.4,29.1,,40.1,37.6,24.8,50.6,,32.3,27.5,48.3,51.6,37.6,,,37.3,35.9,19.6,,,,32.9,,33.9,45.9,28.8,51.5,27.0,32.5,,,,,,,,29.1,,,34.6,,22.3,27.1,,17.6,,38.9,42.5,14.5,,,40.9,11.5,20.8,38,42.4,43.6,44.5
,,,,,26.0,34.3,,,44.3,,,80.1,104.5,19.5,26.1,26.7,42.4,29.6,33.3,27.5,22.9,20.6,,16.8,46.0,45.5,87.2,,42.5,23.6,38.9,56.4,40.8,,,27.8,50.8,25.7,,,,30.1,,35.1,50.7,50.7,19.8,18.3,33.7,,,,,,,,22.8,,,33.2,,59.1,32.1,,32.8,,42.6,22.0,17.4,,,88.5,4,11.6,18.7,24.8,26.3,35.8
,,,,,45.4,22.2,,,50.0,,,32.8,87.4,17.0,23.7,27.6,50.0,48.0,7.0,37.7,20.4,26.5,,28.2,34.2,50.3,70.7,,36.2,87.3,22.0,52.2,56.8,,,9.7,36.2,55.4,,,,40.7,,34.9,84.9,50.7,22.9,9.5,39.6,,,,,,,,19.1,,,57.6,,49.9,6.2,,7.5,,29.3,3.6,18.8,,,67.8,31.2,38.8,60.6,62.5,63.4,79.6
,,,,88.1,19.7,43.4,,,12.7,,,42.2,110.5,26.4,64.1,37.9,51.6,,16.3,43.9,34.6,42.5,,34.7,38.4,36.2,55.2,,27.7,51.6,40.5,74.9,60.5,,,18.6,47.3,43.4,,,,52.4,,81.5,30.3,34.5,25.3,25.5,43.9,,,,,,,,52.1,,,,,26,29.6,,19.7,,41.3,13.3,38.9,,,77.6,18,25.4,41.6,61.9,62.1,64.1
,,,,,47.6,23.5,,,14.1,,,11.1,25.0,24.2,28.7,1.6,8.8,,18.0,3.2,20.5,3.2,,35.2,15.2,3.6,22.8,,28.4,30.2,11.2,41.9,25.7,,,33.9,38.9,3.6,,,,31.1,,33.3,25.1,3.8,19.9,21.7,4.5,,,,,,,,29.6,,,22.6,,36.1,13.1,,5.5,,12.2,27.0,3.3,,,33.0,5.7,10.5,34.5,37.6,41.1,46.3
,,,,,33.7,,,,30.8,,,57.6,69.3,20.1,32.2,16.5,42.2,,16.6,30.5,16.3,17.5,,29.0,43.5,35.1,70.7,,53.0,65.7,23.1,56.9,47.1,,,13.1,57.6,8.9,,,,32.2,,54.7,64.9,47.6,31.7,19.5,29.4,,,,,,,,,,,37.4,,27.7,14.6,,12.7,,28.0,13.4,17.4,,,90.1,10.3,16.4,60.8,70.8,72.8,75.4
,,,,68.1,33.7,5.7,,,19.2,,,24.8,53.5,17.3,9.8,11.0,26.2,,11.4,17.3,14.0,20.2,,29.6,36.1,0.5,47.6,,33.4,31.7,19.2,35.6,29.3,,,7.3,32.8,26.3,,,,26.5,,30.0,20.6,18.6,20.9,9.1,13.7,,,,,,,,13.2,,,27.2,,24.8,13.2,,5.6,,31.2,10.1,6.8,,,32.6,3.4,26.1,32.1,41.3,46.1,71.6
,,,,,90.6,7.2,,,31.2,,,34.0,,8.1,11.3,13.3,27.1,,14.0,14.9,13.0,12.6,43.6,8.6,42.7,12.6,36.9,,32.5,37.7,27.2,44.1,50.7,,,12.6,51.9,7.9,7.0,,,28.8,,15.2,43.3,27.8,11.4,10.1,29.0,,,,,,,,8.9,,,35.3,,44.3,15.7,,12.5,,26.2,13.4,44.5,,,59.0,26.9,48.3,68.4,71,80.4,94.6
,,,,,36.0,24.7,,,19.6,,,59.9,,41.1,21.5,6.6,37.8,,4.1,16.5,42.2,12.4,69.5,37.7,56.9,19.2,51.9,,30.5,66.3,34.6,54.8,79.6,,,4.5,62.3,3.2,18.5,,,62.7,,80.2,41.7,60.4,37.6,16.6,23.0,,,,,,,,37.9,,,23.2,,53.4,8.9,,5.7,,34.1,4.5,15.7,,,90.2,26.2,27.9,45.4,49.9,50.3,55.7
